AssetID,Название,Тип Актива,Минимальная цена ,Текущая цена ,Средняя цена ,Максимальная Цена ,Volatility,Характер рынка,PriceChange,PriceChangePct,TrendAuto,MarketPhaseAuto
1,Apple (AAPL),Stock,120,240,220,400,3,Stable,240,240,Flat,Range
2,Microsoft (MSFT),Stock,250,450,420,650,3,Stable,450,450,Flat,Range
3,Nvidia (NVDA),Stock,50,140,120,300,6,Aggressive,140,140,Flat,Range
4,Amazon (AMZN),Stock,100,220,200,360,4,Stable,220,220,Flat,Range
5,Tesla (TSLA),Stock,120,400,300,700,7,Aggressive,400,400,Flat,Range
6,Bitcoin (BTC),Crypto,30000,100000,80000,200000,12,Chaotic,100000,100000,Flat,Range
7,Ethereum (ETH),Crypto,1000,3500,3000,8000,15,Chaotic,3500,3500,Flat,Range
8,BNB,Crypto,200,700,550,1300,12,Adaptive,700,700,Flat,Range
9,Solana (SOL),Crypto,20,200,160,500,20,Chaotic,200,200,Flat,Range
10,XRP,Crypto,0.3,2.5,1.5,5,18,Adaptive,2.5,2.5,Flat,Range
11,Cardano (ADA),Crypto,0.2,1.0,0.8,3,20,Chaotic,1.0,1.0,Flat,Range
12,Dogecoin (DOGE),Crypto,0.05,0.35,0.25,1,30,Chaotic,0.35,0.35,Flat,Range
13,Avalanche (AVAX),Crypto,8,40,35,150,22,Chaotic,40,40,Flat,Range
14,Chainlink (LINK),Crypto,5,25,20,60,20,Adaptive,25,25,Flat,Range
15,Polkadot (DOT),Crypto,3,8,7,30,20,Chaotic,8,8,Flat,Range
16,Золото (Gold),Metals,1500,2600,2200,4000,1,Stable,2600,2600,Flat,Range
17,Серебро (Silver),Metals,15,30,26,60,2,Stable,30,30,Flat,Range
18,Платина (Platinum),Metals,700,1000,950,2000,2,Adaptive,1000,1000,Flat,Range
19,Нефть (Oil),Commodities,40,75,70,150,3,Adaptive,75,75,Flat,Range
20,Пшеница (Wheat),Commodities,3,6,7,20,2,Stable,6,6,Flat,Range
21,Кукуруза (Corn),Commodities,2,4.5,6,20,2,Stable,4.5,4.5,Flat,Range
22,Dombra (DMBR),Crypto,0.001,0.05,0.08,8,60,Chaotic,0.05,0.05,Flat,Range
23,KAZAXSTAN (KZT),Crypto,0.0005,0.02,0.03,5,62,Chaotic,0.02,0.02,Flat,Range
24,KAZAX (KZX),Crypto,0.0002,0.008,0.012,3,65,Chaotic,0.008,0.008,Flat,Range
25,KAZAX GERLS (KGRL),Crypto,0.002,0.15,0.2,12,58,Chaotic,0.15,0.15,Flat,Range
26,BLOY (BLOY),Crypto,0.0001,0.003,0.005,2,68,Chaotic,0.003,0.003,Flat,Range
27,SHIMIR (SHMR),Crypto,0.01,0.5,0.7,40,55,Chaotic,0.5,0.5,Flat,Range
